trigger_code,trigger_name,onset_time,trial_number,condition,word,response,rt
2,COND1_LABEL,365.39099050001823,67,1,,,
4,COND1_WORD,366.9072075000149,67,1,coin,,
7,RESP_N,367.71891930000857,67,1,coin,n,0.8117275999975391
2,COND1_LABEL,370.7240386000194,68,1,,,
4,COND1_WORD,372.2410457000078,68,1,compass,,
6,RESP_Y,372.9217919000075,68,1,compass,y,0.6807766999991145
3,COND2_LABEL,375.94115530001,69,2,,,
5,COND2_WORD,377.45742280001286,69,2,wolf,,
6,RESP_Y,378.1329119000002,69,2,wolf,y,0.6755036000104155
3,COND2_LABEL,381.1406490000081,70,2,,,
5,COND2_WORD,382.65776650002226,70,2,mop,,
7,RESP_N,383.62381280001136,70,2,mop,n,0.9660732999909669
2,COND1_LABEL,386.64110249999794,71,1,,,
4,COND1_WORD,388.1578254000051,71,1,elk,,
7,RESP_N,388.89591610000934,71,1,elk,n,0.7381030000105966
3,COND2_LABEL,391.90796989999944,72,2,,,
5,COND2_WORD,393.4244582000247,72,2,impala,,
6,RESP_Y,394.6388825000031,72,2,impala,y,1.2144542000023648
2,COND1_LABEL,397.6578349000192,73,1,,,
4,COND1_WORD,399.17460310002207,73,1,clock,,
7,RESP_N,400.02482780002174,73,1,clock,n,0.8502520999754779
2,COND1_LABEL,403.04137230000924,74,1,,,
4,COND1_WORD,404.55796180001926,74,1,frog,,
7,RESP_N,405.125941700011,74,1,frog,n,0.5679966000025161
2,COND1_LABEL,408.14130509999814,75,1,,,
4,COND1_WORD,409.65810339999734,75,1,hook,,
7,RESP_N,410.5439327000058,75,1,hook,n,0.8858459000184666
2,COND1_LABEL,413.5585386000166,76,1,,,
4,COND1_WORD,415.0744982000033,76,1,book,,
7,RESP_N,415.89396300000953,76,1,book,n,0.8194787999964319
3,COND2_LABEL,418.90825680000125,77,2,,,
5,COND2_WORD,420.42498680000426,77,2,stamp,,
7,RESP_N,421.58585170001606,77,2,stamp,n,1.1608798999805003
2,COND1_LABEL,424.5916447000054,78,1,,,
4,COND1_WORD,426.10831720000715,78,1,castle,,
6,RESP_Y,427.12594340002397,78,1,castle,y,1.0176403999794275
3,COND2_LABEL,430.14193630000227,79,2,,,
5,COND2_WORD,431.6585527000134,79,2,table,,
7,RESP_N,433.02288730000146,79,2,table,n,1.3643495999858715
3,COND2_LABEL,436.0418668000202,80,2,,,
5,COND2_WORD,437.5585837000108,80,2,orb,,
7,RESP_N,438.5740107000165,80,2,orb,n,1.015453100000741
3,COND2_LABEL,441.5924460000242,81,2,,,
5,COND2_WORD,443.1087781000242,81,2,marlin,,
6,RESP_Y,444.3190246000013,81,2,marlin,y,1.2102858999860473
2,COND1_LABEL,447.3255416000029,82,1,,,
4,COND1_WORD,448.8424131000065,82,1,cassette,,
6,RESP_Y,450.31198420000146,82,1,cassette,y,1.4695846000104211
3,COND2_LABEL,453.3256769000145,83,2,,,
5,COND2_WORD,454.84232039999915,83,2,larvae,,
6,RESP_Y,455.88390909999725,83,2,larvae,y,1.041602499986766
2,COND1_LABEL,458.89243570002145,84,1,,,
4,COND1_WORD,460.40903530002106,84,1,alarm,,
6,RESP_Y,461.0229086000181,84,1,alarm,y,0.6138885999971535
2,COND1_LABEL,464.0260036000109,85,1,,,
4,COND1_WORD,465.54261669999687,85,1,attic,,
6,RESP_Y,466.3919554000022,85,1,attic,y,0.8493516999878921
2,COND1_LABEL,469.40914060000796,86,1,,,
4,COND1_WORD,470.9258452000213,86,1,bucket,,
7,RESP_N,472.6159886000096,86,1,bucket,n,1.6901592000212986
2,COND1_LABEL,475.62621170000057,87,1,,,
4,COND1_WORD,477.1424984000041,87,1,flame,,
6,RESP_Y,477.8759146000084,87,1,flame,y,0.7334565999917686
3,COND2_LABEL,480.8927059000125,88,2,,,
5,COND2_WORD,482.4092316000024,88,2,oyster,,
6,RESP_Y,483.1650094000215,88,2,oyster,y,0.7558357999951113
3,COND2_LABEL,486.17623470001854,89,2,,,
