ID,Word,Response,RT
william,crow,y,0.6598899000000529
william,bridge,y,3.107239599999957
william,pine,y,0.6505098999996335
william,desk,n,1.9804328000000169
william,fern,y,0.5956473999999616
william,badge,y,0.9817560000001322
william,broom,y,1.263418499999716
william,bamboo,y,1.0485536000001048
william,otter,y,0.8129441000000952
william,chip,n,1.590378200000032
william,keyboard,n,1.6767540000000736
william,kangaroo,y,0.6846973000001526
william,mantis,y,0.6756545000002916
william,calendar,y,0.6293265999997857
william,hawk,y,0.5841189000002487
william,flame,n,0.781487300000208
william,notebook,y,1.1791717000000972
william,avocado,y,0.9252670999999282
william,diamond,y,4.9738093000000845
william,damage,y,5.552833199999895
william,bison,y,0.6184895000001234
william,bell,y,0.8607108999999582
william,monkey,n,2.274222699999882
william,emu,y,0.5774734999999964
william,wolf,n,3.5788431999999375
william,magpie,y,0.6446412999998756
william,jaguar,y,0.6901784000001498
william,imagine,n,0.7227057999998578
william,vase,y,2.9129335000002357
william,rose,n,3.1784835999997085
william,mirror,y,3.7120440000003327
william,ice,n,0.7278576999997313
william,wasp,y,0.67885299999989
william,snow,n,1.2490263999998206
william,pen,n,1.8759913000003507
william,fox,y,0.4780148999998346
william,buck,y,0.5996573000002172
william,parrot,y,6.713757999999871
william,hummingbird,n,2.079674200000227
william,mold,y,0.6184499000000869
william,valley,n,1.5638576999999714
william,passport,n,4.071219200000087
william,canary,y,0.6011880000000929
william,building,n,2.490865500000382
william,manta,y,0.5331605999999738
william,gem,y,1.108574299999873
william,panther,y,1.8488388999999188
william,spider,y,2.482616500000404
william,swan,y,0.5793178999997508
william,heron,y,0.7237827999997535
william,pipe,y,1.2923635000001923
william,sofa,n,0.7473977999998169
william,mesh,y,0.7105139999998755
william,scaffold,y,0.8282394999996541
william,cobra,n,1.4798815999997714
william,marble,y,0.738514799999848
william,squid,y,1.4217839999996613
william,lizard,n,4.369784399999844
william,eagle,n,0.8303519000000961
william,saw,n,0.8005040999996709
william,maze,y,0.8050052999997206
william,dog,y,3.309674499999801
william,shoe,y,0.6742552999999134
william,ladder,n,2.326385599999867
william,fabric,y,9.496488499999941
william,anchor,y,0.6582260000000133
william,lava,n,0.7933603999999832
william,salmon,n,0.012035700000069482
william,disc,n,3.4528952000000572
william,duck,y,0.7911856000000625
william,arrive,n,4.18894360000013
william,habit,n,0.8627261000001454
william,jug,n,1.2722281999999723
william,pencil,y,1.6455000999999356
william,shark,y,0.8128303999997115
william,river,n,0.8076516999999512
william,tent,n,0.9416894000000866
william,hammer,n,1.2955228999999235
william,barrel,y,2.4710609000003387
william,shrub,n,1.0670055000000502
william,tool,n,3.2213142999999036
william,chain,n,1.2632752999998047
william,banana,y,0.5434715999999753
william,orchid,n,1.4431729999996605
william,carpet,n,1.3840884999999616
william,pier,y,0.6696947000000364
william,moth,y,0.8157806000003802
william,orb,n,0.8213006999999379
william,crab,y,0.5128258999998252
william,deer,n,1.0086646999998266
william,belt,n,0.811514200000147
william,pigeon,y,1.0007243000000017
william,butterfly,n,1.494991900000059
william,koala,y,0.5879522000000179
william,knife,n,2.5655735000000277
william,insect,n,0.7716070999999829
william,file,n,1.9980616000002556
william,snake,y,1.0238718000000517
william,octopus,n,0.7636625999998614
william,tire,n,2.4566623999999138
william,compass,y,1.9089042000000518
william,object,n,0.7373352999998133
william,cheetah,y,0.8853509999999005
william,slug,y,0.7195657000002029
william,flower,n,1.509411
william,lion,n,1.4851088000000345
william,battery,n,3.7615877999996883
william,catfish,y,0.68888939999988
william,beetle,y,1.530335500000092
william,llama,y,0.6187987000002977
william,fence,n,1.2876440000000002
william,oyster,n,1.0322111000000405
william,rug,n,1.0482351999999082
william,oak,y,1.1692301000002772
william,grasshopper,y,0.6637470999999096
william,jungle,n,1.479377999999997
william,mouse,n,2.9342893999996704
william,albatross,y,5.071805599999607
william,basket,n,2.5106363999998393
william,flint,y,0.9795610999999553
william,jacket,y,1.5351356000001033
william,cargo,n,1.5358790999998746
william,behave,n,2.475957499999822
william,note,n,1.031807999999728
william,alligator,n,1.583792800000083
william,elk,y,1.9084480999999869
william,camel,y,0.639771600000131
william,cow,y,1.164167300000372
