"trigger_code","trigger_name","onset_time","trial_number","condition","word","response","rt","remembered"
7,"RESP_N",324.102499799803,62,1,"heron","n",0.87253800034523,NA
3,"COND2_LABEL",327.113414499909,63,2,"","",NA,NA
51,"COND2_WORD",328.63015479967,63,2,"stamp","",NA,1
7,"RESP_N",329.462509600446,63,2,"stamp","n",0.832395499572158,NA
2,"COND1_LABEL",332.480654200539,64,1,"","",NA,NA
41,"COND1_WORD",333.996902300045,64,1,"crater","",NA,1
6,"RESP_Y",334.982523899525,64,1,"crater","y",0.985634999349713,NA
3,"COND2_LABEL",337.997153799981,65,2,"","",NA,NA
51,"COND2_WORD",339.513777900487,65,2,"rattlesnake","",NA,1
6,"RESP_Y",340.814433598891,65,2,"rattlesnake","y",1.30069790035486,NA
3,"COND2_LABEL",343.830761199817,66,2,"","",NA,NA
51,"COND2_WORD",345.347386199981,66,2,"shelf","",NA,1
7,"RESP_N",345.934509899467,66,2,"shelf","n",0.587152300402522,NA
3,"COND2_LABEL",348.947625199333,67,2,"","",NA,NA
51,"COND2_WORD",350.464249100536,67,2,"pier","",NA,1
7,"RESP_N",351.630440499634,67,2,"pier","n",1.16624690033495,NA
2,"COND1_LABEL",354.648344999179,68,1,"","",NA,NA
40,"COND1_WORD",356.164234500378,68,1,"cassette","",NA,0
6,"RESP_Y",356.942434199154,68,1,"cassette","y",0.778216699138284,NA
3,"COND2_LABEL",359.948062598705,69,2,"","",NA,NA
51,"COND2_WORD",361.464896399528,69,2,"kitchen","",NA,1
7,"RESP_N",362.462416799739,69,2,"kitchen","n",0.99753500148654,NA
2,"COND1_LABEL",365.481592299417,70,1,"","",NA,NA
41,"COND1_WORD",366.998348699883,70,1,"elk","",NA,1
7,"RESP_N",367.88641330041,70,1,"elk","n",0.888093400746584,NA
3,"COND2_LABEL",370.89835649915,71,2,"","",NA,NA
51,"COND2_WORD",372.415025198832,71,2,"shark","",NA,1
6,"RESP_Y",372.934451699257,71,2,"shark","y",0.519443700090051,NA
3,"COND2_LABEL",375.948620099574,72,2,"","",NA,NA
51,"COND2_WORD",377.465026998892,72,2,"mole","",NA,1
6,"RESP_Y",378.038417799398,72,2,"mole","y",0.573417900130153,NA
3,"COND2_LABEL",381.048922099173,73,2,"","",NA,NA
51,"COND2_WORD",382.565707499161,73,2,"llama","",NA,1
6,"RESP_Y",383.350387400016,73,2,"llama","y",0.784694200381637,NA
3,"COND2_LABEL",386.365684699267,74,2,"","",NA,NA
50,"COND2_WORD",387.882458699867,74,2,"passport","",NA,0
7,"RESP_N",388.638453200459,74,2,"passport","n",0.756035700440407,NA
3,"COND2_LABEL",391.649215798825,75,2,"","",NA,NA
50,"COND2_WORD",393.166025599465,75,2,"owl","",NA,0
6,"RESP_Y",393.822373598814,75,2,"owl","y",0.656376099213958,NA
2,"COND1_LABEL",396.832985699177,76,1,"","",NA,NA
41,"COND1_WORD",398.349508000538,76,1,"coyote","",NA,1
7,"RESP_N",399.134313698858,76,1,"coyote","n",0.784835198894143,NA
2,"COND1_LABEL",402.149699399248,77,1,"","",NA,NA
41,"COND1_WORD",403.666361998767,77,1,"hook","",NA,1
7,"RESP_N",404.486433999613,77,1,"hook","n",0.82010000012815,NA
2,"COND1_LABEL",407.500010199845,78,1,"","",NA,NA
40,"COND1_WORD",409.01638009958,78,1,"flower","",NA,0
7,"RESP_N",409.718340098858,78,1,"flower","n",0.701976900920272,NA
3,"COND2_LABEL",412.733342800289,79,2,"","",NA,NA
51,"COND2_WORD",414.250199599192,79,2,"newt","",NA,1
6,"RESP_Y",416.438338998705,79,2,"newt","y",2.18820099905133,NA
2,"COND1_LABEL",419.450296899304,80,1,"","",NA,NA
41,"COND1_WORD",420.967176899314,80,1,"emu","",NA,1
7,"RESP_N",421.958381298929,80,1,"emu","n",0.991234499961138,NA
2,"COND1_LABEL",424.967327300459,81,1,"","",NA,NA
40,"COND1_WORD",426.484286099672,81,1,"alpaca","",NA,0
6,"RESP_Y",427.182384399697,81,1,"alpaca","y",0.698087800294161,NA
3,"COND2_LABEL",430.200804298744,82,2,"","",NA,NA
51,"COND2_WORD",431.717471299693,82,2,"vase","",NA,1
7,"RESP_N",432.670315200463,82,2,"vase","n",0.952872099354863,NA
3,"COND2_LABEL",435.684497999027,83,2,"","",NA,NA
50,"COND2_WORD",437.201083999127,83,2,"tool","",NA,0
7,"RESP_N",437.854320099577,83,2,"tool","n",0.653250699862838,NA
2,"COND1_LABEL",440.867852998897,84,1,"","",NA,NA
40,"COND1_WORD",442.384408598766,84,1,"alligator","",NA,0
6,"RESP_Y",442.990388499573,84,1,"alligator","y",0.606006499379873,NA
2,"COND1_LABEL",446.001321598887,85,1,"","",NA,NA
41,"COND1_WORD",447.518125800416,85,1,"dome","",NA,1
7,"RESP_N",447.998300200328,85,1,"dome","n",0.480203200131655,NA
2,"COND1_LABEL",451.001624399796,86,1,"","",NA,NA
40,"COND1_WORD",452.518360899761,86,1,"disc","",NA,0
7,"RESP_N",453.094287099317,86,1,"disc","n",0.575941499322653,NA
2,"COND1_LABEL",456.101749699563,87,1,"","",NA,NA
41,"COND1_WORD",457.618569198996,87,1,"beetle","",NA,1
7,"RESP_N",458.182389600202,87,1,"beetle","n",0.563846999779344,NA
3,"COND2_LABEL",461.185427200049,88,2,"","",NA,NA
51,"COND2_WORD",462.702018199489,88,2,"kangaroo","",NA,1
6,"RESP_Y",463.470293300226,88,2,"kangaroo","y",0.768292799592018,NA
3,"COND2_LABEL",466.485187700018,89,2,"","",NA,NA
50,"COND2_WORD",468.002294000238,89,2,"rug","",NA,0
7,"RESP_N",468.622244698927,89,2,"rug","n",0.619980599731207,NA
2,"COND1_LABEL",471.635693900287,90,1,"","",NA,NA
41,"COND1_WORD",473.152509700507,90,1,"grasshopper","",NA,1
6,"RESP_Y",473.878257799894,90,1,"grasshopper","y",0.72577840089798,NA
2,"COND1_LABEL",476.885879900306,91,1,"","",NA,NA
40,"COND1_WORD",478.403046600521,91,1,"comb","",NA,0
7,"RESP_N",479.262232400477,91,1,"comb","n",0.859201600775123,NA
2,"COND1_LABEL",482.269681299105,92,1,"","",NA,NA
41,"COND1_WORD",483.786161199212,92,1,"bamboo","",NA,1
6,"RESP_Y",484.662261798978,92,1,"bamboo","y",0.876129399985075,NA
3,"COND2_LABEL",487.66972719878,93,2,"","",NA,NA
51,"COND2_WORD",489.186508899555,93,2,"satchel","",NA,1
7,"RESP_N",489.862318599597,93,2,"satchel","n",0.675837898626924,NA
3,"COND2_LABEL",492.86989899911,94,2,"","",NA,NA
51,"COND2_WORD",494.386583399028,94,2,"mesh","",NA,1
7,"RESP_N",494.950251098722,94,2,"mesh","n",0.563682800158858,NA
3,"COND2_LABEL",497.95349160023,95,2,"","",NA,NA
51,"COND2_WORD",499.470199899748,95,2,"calendar","",NA,1
7,"RESP_N",500.342246700078,95,2,"calendar","n",0.872075900435448,NA
3,"COND2_LABEL",503.354065399617,96,2,"","",NA,NA
51,"COND2_WORD",504.870345199481,96,2,"mantis","",NA,1
6,"RESP_Y",505.558238700032,96,2,"mantis","y",0.687934000045061,NA
3,"COND2_LABEL",508.5705065988,97,2,"","",NA,NA
51,"COND2_WORD",510.087343400344,97,2,"swan","",NA,1
6,"RESP_Y",510.814377399161,97,2,"swan","y",0.727061098441482,NA
2,"COND1_LABEL",513.820768399164,98,1,"","",NA,NA
41,"COND1_WORD",515.337435100228,98,1,"coral","",NA,1
6,"RESP_Y",515.982347600162,98,1,"coral","y",0.644927699118853,NA
3,"COND2_LABEL",518.987543299794,99,2,"","",NA,NA
51,"COND2_WORD",520.504248600453,99,2,"panther","",NA,1
6,"RESP_Y",521.126187099144,99,2,"panther","y",0.621967699378729,NA
2,"COND1_LABEL",524.137808399275,100,1,"","",NA,NA
40,"COND1_WORD",525.654511999339,100,1,"flame","",NA,0
6,"RESP_Y",526.430197998881,100,1,"flame","y",0.775725699961185,NA
3,"COND2_LABEL",529.504830699414,101,2,"","",NA,NA
50,"COND2_WORD",531.02155729942,101,2,"mouse","",NA,0
6,"RESP_Y",531.662275599316,101,2,"mouse","y",0.640748200938106,NA
3,"COND2_LABEL",534.671579800546,102,2,"","",NA,NA
51,"COND2_WORD",536.188313499093,102,2,"marlin","",NA,1
6,"RESP_Y",536.97421079874,102,2,"marlin","y",0.785911899060011,NA
2,"COND1_LABEL",539.988901698962,103,1,"","",NA,NA
41,"COND1_WORD",541.504941798747,103,1,"duck","",NA,1
7,"RESP_N",542.150191100314,103,1,"duck","n",0.645263900980353,NA
3,"COND2_LABEL",545.15592020005,104,2,"","",NA,NA
50,"COND2_WORD",546.671999599785,104,2,"sand","",NA,0
7,"RESP_N",547.374157899991,104,2,"sand","n",0.702199701219797,NA
2,"COND1_LABEL",550.38889009878,105,1,"","",NA,NA
40,"COND1_WORD",551.905566899106,105,1,"cactus","",NA,0
6,"RESP_Y",552.526134200394,105,1,"cactus","y",0.620596401393414,NA
3,"COND2_LABEL",555.539254199713,106,2,"","",NA,NA
50,"COND2_WORD",557.05570579879,106,2,"tent","",NA,0
7,"RESP_N",557.606189899147,106,2,"tent","n",0.550500700250268,NA
2,"COND1_LABEL",560.622841499746,107,1,"","",NA,NA
41,"COND1_WORD",562.139264399186,107,1,"avocado","",NA,1
6,"RESP_Y",562.678143398836,107,1,"avocado","y",0.538935698568821,NA
3,"COND2_LABEL",565.689527699724,108,2,"","",NA,NA
51,"COND2_WORD",567.20616629906,108,2,"gate","",NA,1
6,"RESP_Y",567.854128800333,108,2,"gate","y",0.647991498932242,NA
2,"COND1_LABEL",570.872758299112,109,1,"","",NA,NA
41,"COND1_WORD",572.38942719996,109,1,"fish","",NA,1
7,"RESP_N",572.918160598725,109,1,"fish","n",0.528760300949216,NA
2,"COND1_LABEL",575.923234200105,110,1,"","",NA,NA
41,"COND1_WORD",577.439992399886,110,1,"fern","",NA,1
7,"RESP_N",578.142101800069,110,1,"fern","n",0.702124601230025,NA
2,"COND1_LABEL",581.156872300431,111,1,"","",NA,NA
41,"COND1_WORD",582.673592800274,111,1,"baboon","",NA,1
